字段1,字段2,字段3
601678,更多绿色建筑 ;制冷剂 ;小额贷款 ;军民融合 ;股权转让 ;融资融券 ;参股保险 ;沪股通 ;转融券标的 ;液氯 ;环氧丙烷 ;烧碱 ;燃料电池 ;氢能源 ;煤化工,滨化股份
"601678,601678,601678,601678,601678,601678",,"滨化股份,滨化股份,滨化股份,滨化股份,滨化股份,滨化股份"
"600815,600815,600815",,"厦工股份,厦工股份,厦工股份"
002111,更多私人飞机 ;环渤海 ;除雪概念 ;军工 ;消防装备 ;通用航空 ;无人机 ;年报预增,威海广泰
"002111,002111,002111,002111,002111,002111,002111,002111",,"威海广泰,威海广泰,威海广泰,威海广泰,威海广泰,威海广泰,威海广泰,威海广泰"
600036,更多招商系 ;MSCI概念 ;融资融券 ;沪股通 ;转融券标的 ;优先股概念 ;安邦系,招商银行
"600036,600036,600036,600036",,"招商银行,招商银行,招商银行,招商银行"
603266,--,天龙股份
"603266,603266,603266,603266",,"天龙股份,天龙股份,天龙股份,天龙股份"
603679,节能照明 ;新能源汽车 ;华为汽车 ;5G,华体科技
"603679,603679,603679,603679,603679,603679",,"华体科技,华体科技,华体科技,华体科技,华体科技,华体科技"
002534,更多分布式燃气发电 ;固废处理 ;分布式发电 ;余热发电 ;天然气锅炉 ;垃圾发电 ;节能环保 ;创投 ;核电 ;一带一路 ;机构重仓,杭锅股份
300231,更多智慧城市 ;互联网银行 ;参股新三板 ;大数据 ;华为概念,银信科技
"300231,300231,300231,300231,300231,300231,300231",,"银信科技,银信科技,银信科技,银信科技,银信科技,银信科技,银信科技"
002842,钨 ;小金属概念 ;年报预增 ;高送转,翔鹭钨业
"002842,002842",,"翔鹭钨业,翔鹭钨业"
603085,工业4.0 ;航空航天,天成自控
"603085,603085,603085,603085,603085",,"天成自控,天成自控,天成自控,天成自控,天成自控"
"002279,002279,002279,002279,002279,002279,002279,002279,002279",,"久其软件,久其软件,久其软件,久其软件,久其软件,久其软件,久其软件,久其软件,久其软件"
